"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"FMR1",461.937568274507,0.0197370795587379,0.0398455092703879,0.00690284104187055,0.49859726224617,FALSE
"GPATCH3",286.823021274415,-0.0188694264155278,0.0389656402561197,0.00658250263140956,0.49859726224617,FALSE
"IMP3",1807.14607871739,-0.138361725961645,0.160478402593145,0.00656449335363088,0.49859726224617,FALSE
"PDCL3",511.11187799284,-0.130890064365197,0.160010633065519,0.00699342327398282,0.49859726224617,FALSE
"SH3BP5",224.8403616753,0.0186302668215561,0.0387381580794476,0.00689280647921927,0.49859726224617,FALSE
"TIA1",1295.72031467806,0.149664956804248,0.190492484604774,0.00691183948466215,0.49859726224617,FALSE
"TMCC3",431.249619988319,-0.00696561343578118,0.0314780486364086,0.00664727243140847,0.49859726224617,FALSE
"WDR67",394.665682358087,-0.0133360319380393,0.0345064644693975,0.00707863054258265,0.49859726224617,FALSE
"ZBED4",285.020894009144,-0.0140111091158114,0.0349514780167756,0.00706058209481831,0.49859726224617,FALSE
"ZNF549",217.770453088547,-0.0139379175984522,0.0348887067190271,0.00674911954558864,0.49859726224617,FALSE
"ZWINT",82.0075746005483,-0.00698372764139011,0.0314812189714534,0.00711803279995372,0.49859726224617,FALSE
"ALG13",734.161518291532,-0.025989306897459,0.0477070288437603,0.00716046367006688,0.498636265398575,FALSE
"MSX2P1",141.530676990193,-0.0154222638177485,0.0359408440410752,0.00735275338019964,0.509049925880333,FALSE
"MRPS25",273.133064365729,0.0215548334316321,0.0417808542013395,0.00742512695253903,0.511089085264941,FALSE
"SPOCK2",5055.88778777792,-0.148375475179712,0.185789374488391,0.00761842583167763,0.521380544848374,FALSE
"D2HGDH",172.563908837617,-0.0191799405278612,0.0392098628271476,0.0077671598905181,0.528521942721654,FALSE
"ARMC1",654.48107899438,-0.0373874944798125,0.0728909996227069,0.00800321221245777,0.53925377014228,FALSE
"PCNXL3",461.26452551923,0.018608731677941,0.0386451845285157,0.00805275871802993,0.53925377014228,FALSE
"PFKFB3",404.573426441977,-0.00890739604615513,0.0321804543740405,0.00806072985264745,0.53925377014228,FALSE
"HHEX",41.887826442576,0.00486226463519846,0.0309091970132812,0.00818617102411624,0.544586170699308,FALSE
"ZNF432",68.1329893845352,-0.00619271447765882,0.031243246175414,0.00824956455138152,0.545754525988062,FALSE
"EEF2K",119.090353637609,-0.0126983948386511,0.0340806281362517,0.00852273681390281,0.551569293369319,FALSE
"FDXR",136.179821728763,0.0134649155176229,0.0345616495613931,0.00842055387778197,0.551569293369319,FALSE
"HIST1H2BB",41.1159355491567,0.00522194022831957,0.0309899488760775,0.00850321994911953,0.551569293369319,FALSE
"LNX1",35.7598949818683,-0.0120001810422665,0.0336713110841239,0.00846490457543862,0.551569293369319,FALSE
"AFF3",18.8132774029431,-0.00596314509164966,0.0311756679256949,0.0087708160151939,0.552607815391159,FALSE
