"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","2/174","123/5433",0.016260162601626,0.507709559854219,-1.00445299207039,0.910002817326395,0.99750420767229,0.928670583984963,"9672/375790",2
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","1/174","74/5433",0.0135135135135135,0.421947809878844,-0.910634189400366,0.911552263770106,0.99750420767229,0.928670583984963,"1536",1
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","1/174","76/5433",0.0131578947368421,0.41084392014519,-0.9407608939228,0.917203112873691,0.99750420767229,0.928670583984963,"10859",1
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","2/174","127/5433",0.015748031496063,0.491718707575346,-1.05420551186307,0.919118053435499,0.99750420767229,0.928670583984963,"578/6604",2
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","1/174","77/5433",0.012987012987013,0.40550828481863,-0.955594858656093,0.91989242748261,0.99750420767229,0.928670583984963,"578",1
"Human Diseases","Cancer: overview","hsa05231","Choline metabolism in cancer","1/174","77/5433",0.012987012987013,0.40550828481863,-0.955594858656093,0.91989242748261,0.99750420767229,0.928670583984963,"8527",1
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","2/174","130/5433",0.0153846153846154,0.480371352785146,-1.09070390432144,0.925380081667698,0.99750420767229,0.928670583984963,"840/2081",2
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","2/174","130/5433",0.0153846153846154,0.480371352785146,-1.09070390432144,0.925380081667698,0.99750420767229,0.928670583984963,"578/8651",2
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","1/174","80/5433",0.0125,0.390301724137931,-0.999227224398359,0.92745024971759,0.99750420767229,0.928670583984963,"773",1
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","4/174","220/5433",0.0181818181818182,0.567711598746081,-1.190539969677,0.927983431079488,0.99750420767229,0.928670583984963,"5685/9246/2081/7318",4
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","6/174","304/5433",0.0197368421052632,0.616265880217786,-1.25243091131452,0.931151696295031,0.99750420767229,0.928670583984963,"5685/5610/1536/840/2081/1454",6
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","1/174","84/5433",0.0119047619047619,0.37171592775041,-1.05550990574229,0.936435559221393,0.99750420767229,0.928670583984963,"2209",1
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","1/174","85/5433",0.0117647058823529,0.367342799188641,-1.06926447561762,0.938503275186148,0.99750420767229,0.928670583984963,"1536",1
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","2/174","140/5433",0.0142857142857143,0.446059113300493,-1.20775657950015,0.943120966371489,0.99750420767229,0.928670583984963,"7535/3815",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","1/174","89/5433",0.0112359550561798,0.350833010461062,-1.12310697802345,0.946126437278549,0.99750420767229,0.928670583984963,"9934",1
"Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","1/174","89/5433",0.0112359550561798,0.350833010461062,-1.12310697802345,0.946126437278549,0.99750420767229,0.928670583984963,"773",1
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","2/174","144/5433",0.0138888888888889,0.433668582375479,-1.2527604582421,0.94903354172199,0.99750420767229,0.928670583984963,"1975/1514",2
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","1/174","91/5433",0.010989010989011,0.343122394846533,-1.14936013419556,0.949577874560182,0.99750420767229,0.928670583984963,"5631",1
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","1/174","93/5433",0.010752688172043,0.335743418613274,-1.17519417779053,0.952809383242969,0.99750420767229,0.928670583984963,"6196",1
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","1/174","94/5433",0.0106382978723404,0.332171680117388,-1.18795972598024,0.95434705502494,0.99750420767229,0.928670583984963,"578",1
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","1/174","95/5433",0.0105263157894737,0.328675136116152,-1.20062717720899,0.955834901517852,0.99750420767229,0.928670583984963,"3837",1
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","1/174","96/5433",0.0104166666666667,0.325251436781609,-1.21319860691506,0.957274528182501,0.99750420767229,0.928670583984963,"10241",1
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","1/174","98/5433",0.0102040816326531,0.318613652357495,-1.23806137033808,0.960015288310393,0.99750420767229,0.928670583984963,"6772",1
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","1/174","99/5433",0.0101010101010101,0.315395332636712,-1.25035653027939,0.961319381999989,0.99750420767229,0.928670583984963,"1454",1
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","5/174","295/5433",0.0169491525423729,0.529222676797195,-1.51228071030874,0.964393854295951,0.99750420767229,0.928670583984963,"5685/5608/834/4218/2081",5
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","1/174","103/5433",0.00970873786407767,0.303146970204218,-1.29867093185015,0.966126218283806,0.99750420767229,0.928670583984963,"952",1
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","1/174","104/5433",0.00961538461538462,0.300232095490716,-1.31054141005279,0.967232041551839,0.99750420767229,0.928670583984963,"8879",1
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","1/174","104/5433",0.00961538461538462,0.300232095490716,-1.31054141005279,0.967232041551839,0.99750420767229,0.928670583984963,"7535",1
