"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5218921","VEGFR2 mediated cell proliferation","5/763","20/7483",0.25,2.45183486238532,2.19059444560188,0.0461516739191893,0.999995710105417,0.999995710105417,"ITPR3/PLCG1/CALM2/PRKCA/SPHK1",5
"R-HSA-399954","Sema3A PAK dependent Axon repulsion","4/763","14/7483",0.285714285714286,2.80209698558322,2.27403650812292,0.0467643302130802,0.999995710105417,0.999995710105417,"LIMK1/PLXNA1/PLXNA3/PLXNA4",4
"R-HSA-4420097","VEGFA-VEGFR2 Pathway","14/763","85/7483",0.164705882352941,1.61532649757151,1.92240284757371,0.0475211391576614,0.999995710105417,0.999995710105417,"CYBA/CDC42/ITPR3/AKT3/PTK2B/PLCG1/ABI2/PRKACB/CALM2/PIK3R1/PRKCA/NCF1/THEM4/SPHK1",14
"R-HSA-9639288","Amino acids regulate mTORC1","9/763","48/7483",0.1875,1.83887614678899,1.96455622259293,0.0507659237792654,0.999995710105417,0.999995710105417,"ATP6V1H/SESN1/ATP6V1D/ATP6V0E1/KPTN/ATP6V1E1/LAMTOR5/ATP6V0E2/LAMTOR4",9
"R-HSA-9918485","Dengue Virus Attachment and Entry","7/763","34/7483",0.205882352941176,2.01915812196438,2.00686669469169,0.0521644014624111,0.999995710105417,0.999995710105417,"AP2S1/HSPG2/PIK3R1/CD300A/CD14/ATG7/RNASEK",7
"R-HSA-5668599","RHO GTPases Activate NADPH Oxidases","5/763","21/7483",0.238095238095238,2.33508082131935,2.06431546733821,0.0556789515941253,0.999995710105417,0.999995710105417,"CYBA/S100A8/PRKCA/NCF1/S100A9",5
"R-HSA-5669034","TNFs bind their physiological receptors","5/763","21/7483",0.238095238095238,2.33508082131935,2.06431546733821,0.0556789515941253,0.999995710105417,0.999995710105417,"EDAR/CD27/TNFRSF14/TNFSF13/TNFRSF25",5
"R-HSA-416476","G alpha (q) signalling events","15/763","95/7483",0.157894736842105,1.54852728150652,1.81293851784532,0.0565729664797603,0.999995710105417,0.999995710105417,"BTK/PRKCH/TRIO/GNA15/DGKA/P2RY10/ITPR3/NTSR1/DGKH/GPR68/PIK3R1/DGKE/PRKCA/GHRL/RASGRP1",15
"R-HSA-3928663","EPHA-mediated growth cone collapse","4/763","15/7483",0.266666666666667,2.61529051987768,2.10999100305467,0.0587938003007246,0.999995710105417,0.999995710105417,"EPHA4/MYL12B/EPHA1/EFNA4",4
"R-HSA-164952","The role of Nef in HIV-1 replication and disease pathogenesis","6/763","28/7483",0.214285714285714,2.10157273918742,1.96768174259216,0.0591383575822738,0.999995710105417,0.999995710105417,"AP2S1/ATP6V1H/AP1M2/CD28/LCK/HLA-A",6
"R-HSA-9696264","RND3 GTPase cycle","6/763","28/7483",0.214285714285714,2.10157273918742,1.96768174259216,0.0591383575822738,0.999995710105417,0.999995710105417,"TXNL1/SEMA4F/PIK3R1/DLG5/PTPN13/WDR6",6
"R-HSA-9013420","RHOU GTPase cycle","7/763","35/7483",0.2,1.96146788990826,1.92103579523957,0.0597185845357055,0.999995710105417,0.999995710105417,"CDC42/TXNL1/ARHGEF7/PTK2B/PIK3R1/DLG5/WDR6",7
"R-HSA-2187338","Visual phototransduction","8/763","43/7483",0.186046511627907,1.82462129293791,1.82721137050026,0.065987905059657,0.999995710105417,0.999995710105417,"SLC24A1/HSPG2/CALM2/CYP4V2/NMT2/PRKCA/LRP8/METAP1",8
"R-HSA-451927","Interleukin-2 family signaling","7/763","36/7483",0.194444444444444,1.90698267074414,1.83800228574163,0.0679102803366008,0.999995710105417,0.999995710105417,"IL21R/PTK2B/STAT4/PIK3R1/INPPL1/LGALS9/LCK",7
