"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","10/546","61/5433",0.163934426229508,1.63123761484417,1.65708512234831,0.0808503004994228,0.751513602436806,0.736428692130266,"5583/5601/5588/3710/5335/5732/5567/805/5295/5578",10
"Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","7/546","38/5433",0.184210526315789,1.832995951417,1.72224128941844,0.0809209995029914,0.751513602436806,0.736428692130266,"1954/11127/408/5567/8945/596/5727",7
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","7/546","38/5433",0.184210526315789,1.832995951417,1.72224128941844,0.0809209995029914,0.751513602436806,0.736428692130266,"6932/4616/10912/51176/7476/8313/5727",7
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","12/546","77/5433",0.155844155844156,1.55073497930641,1.62675732877265,0.081244713776952,0.751513602436806,0.736428692130266,"5601/6932/4616/10000/10912/4609/51176/5295/5900/4088/8313/596",12
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","10/546","62/5433",0.161290322580645,1.60492733073378,1.60112967785693,0.0881994296097424,0.793794866487682,0.777861256871128,"4616/1021/10000/5335/10912/27436/5295/5578/3800/2272",10
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","28/546","216/5433",0.12962962962963,1.28988603988604,1.45311100247871,0.0935555411773313,0.796888068722316,0.780892370172018,"5601/998/6932/10627/79792/8797/8677/10094/10000/103910/1434/79026/11035/10095/5287/7295/4609/51176/23643/79443/3800/399/929/596/10540/79659/4636/10552",28
"Human Diseases","Cancer: specific types","hsa05216","Thyroid cancer","6/546","32/5433",0.1875,1.86572802197802,1.64162670385696,0.095535851213485,0.796888068722316,0.780892370172018,"6932/4616/8030/10912/4609/51176",6
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","19/546","138/5433",0.13768115942029,1.37000318522058,1.47152300568358,0.0957222905372151,0.796888068722316,0.780892370172018,"3594/959/50615/8797/657/4055/1236/10220/10913/3590/939/57007/56477/8764/8741/11009/3575/1233/8718",19
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","12/546","80/5433",0.15,1.49258241758242,1.48347526762424,0.101627653420751,0.825414843636833,0.808846535569522,"5588/4773/10000/5335/27436/5295/4794/917/10125/940/3932/27040",12
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","19/546","140/5433",0.135714285714286,1.350431711146,1.40401420779344,0.106532501752,0.825683226523122,0.8091095312855,"5601/998/5924/10000/5335/22800/2113/51196/5567/805/5295/5578/5900/80310/10125/253959/8831/27040/1945",19
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","30/546","238/5433",0.126050420168067,1.25427093914489,1.34074893962668,0.111355748213603,0.825683226523122,0.8091095312855,"51606/998/5933/6932/1741/4799/3655/51382/5700/1021/6908/8992/10000/529/10207/1291/5567/5295/472/2308/7476/8313/1285/155066/23545/3107/3133/3134/3105/3106",30
"Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","3/546","12/5433",0.25,2.48763736263736,1.72426109488701,0.111931917258473,0.825683226523122,0.8091095312855,"3074/2720/8705",3
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","11/546","74/5433",0.148648648648649,1.47913572913573,1.3870354827343,0.119315371052777,0.825683226523122,0.8091095312855,"5601/998/10000/5335/51196/5295/2308/5578/4088/1285/596",11
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","6/546","34/5433",0.176470588235294,1.75597931480284,1.47790915601547,0.119974921635053,0.825683226523122,0.8091095312855,"23509/79695/79709/10585/145173/170384",6
"Metabolism","Glycan biosynthesis and metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","6/546","34/5433",0.176470588235294,1.75597931480284,1.47790915601547,0.119974921635053,0.825683226523122,0.8091095312855,"3074/64841/5973/2584/55577/3101",6
"Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","6/546","34/5433",0.176470588235294,1.75597931480284,1.47790915601547,0.119974921635053,0.825683226523122,0.8091095312855,"6810/8766/5567/360/10540/79659",6
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","13/546","91/5433",0.142857142857143,1.42150706436421,1.3552787986889,0.121496931230129,0.825683226523122,0.8091095312855,"50943/5601/5588/6095/3594/4773/50615/5335/4794/917/4088/3932/27040",13
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","11/546","75/5433",0.146666666666667,1.45941391941392,1.33902430145488,0.127927243379252,0.851995440905821,0.834893588369858,"5601/5588/3594/4773/5335/6775/4794/917/4094/3932/27040",11
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","6/546","35/5433",0.171428571428571,1.70580847723705,1.40010138354863,0.133248249122811,0.862187075596282,0.844880649391014,"959/4055/56477/8741/29851/940",6
