ID_REF	Probe Name	miRNA_ID	Accession	Class Name	HC1	HC2	HC3	HC4	LTB1	LTB2	LTB3	LTB4	LTB5	LTB6	DS-TB1	DS-TB2	DS-TB3	DS-TB4	DS-TB5	DS-TB6	DR-TB1	DR-TB2	DR-TB3	DR-TB4		
hsa-miR-1236-3p	hsa-miR-1236-3p	hsa-miR-1236-3p	MIMAT0005591	Endogenous1	44.25	32.21	43.43	37.9	43.82	54.34	47.38	18.49	56	42.52	29.78	53.25	32.96	53.49	29.6	16.81	37.4	33.06	20.71	27.37		
hsa-miR-124-3p	hsa-miR-124-3p	hsa-miR-124-3p	MIMAT0000422	Endogenous1	20.11	10.74	15.92	14.38	19.82	16.72	20.31	12.09	26.35	18.9	13.24	20.29	7.75	23.6	10.15	8.04	13.27	12.94	7.63	23.26		
hsa-miR-1244	hsa-miR-1244	hsa-miR-1244	MIMAT0005896	Endogenous1	22.8	14.57	17.37	10.45	18.78	19.51	18.61	9.24	35.13	14.17	11.03	15.21	12.6	31.47	18.61	12.43	20.51	8.62	11.99	19.16		
hsa-miR-1245a	hsa-miR-1245a	hsa-miR-1245a	MIMAT0005897	Endogenous1	24.14	15.34	20.27	24.83	27.13	33.44	10.15	14.93	20.86	25.51	12.13	12.68	15.51	33.04	27.91	12.43	19.3	8.62	10.9	21.89		
hsa-miR-1245b-3p	hsa-miR-1245b-3p	hsa-miR-1245b-3p	MIMAT0019951	Endogenous1	24.14	11.5	21.71	11.76	30.26	26.47	20.31	7.11	21.96	14.17	14.34	20.29	14.54	23.6	17.76	7.31	12.06	20.12	10.9	23.26		
hsa-miR-1245b-5p	hsa-miR-1245b-5p	hsa-miR-1245b-5p	MIMAT0019950	Endogenous1	59	37.58	52.11	43.13	38.6	54.34	52.46	26.31	58.19	59.53	27.57	36.77	26.17	48.77	27.06	21.93	37.4	35.94	34.87	24.63		
hsa-miR-1246	hsa-miR-1246	hsa-miR-1246	MIMAT0005898	Endogenous1	1.34	1	1.45	1.31	1.04	1.39	1.69	1	1.1	1	1.1	1.27	1	1.57	1	1	1.21	1.44	1.09	1.37		
hsa-miR-1247-5p	hsa-miR-1247-5p	hsa-miR-1247-5p	MIMAT0005899	Endogenous1	8.05	4.6	11.58	7.84	10.43	9.75	6.77	11.38	15.37	10.39	4.41	10.14	2.91	14.16	7.61	7.31	7.24	8.62	1.09	12.32		
hsa-miR-1248	hsa-miR-1248	hsa-miR-1248	MIMAT0005900	Endogenous1	32.18	13.8	21.71	36.59	22.95	23.69	25.38	9.95	35.13	22.68	14.34	20.29	14.54	20.45	23.68	9.5	16.89	17.25	13.08	16.42		
hsa-miR-1249-3p	hsa-miR-1249-3p	hsa-miR-1249-3p	MIMAT0005901	Endogenous1	26.82	15.34	30.4	31.36	28.17	37.62	23.69	17.78	19.76	24.57	25.37	22.82	25.2	36.19	21.99	18.28	27.75	34.5	21.8	20.53		
hsa-miR-1249-5p	hsa-miR-1249-5p	hsa-miR-1249-5p	MIMAT0032029	Endogenous1	18.77	18.4	13.03	24.83	22.95	19.51	16.92	10.67	27.45	21.73	16.54	7.61	10.66	25.17	19.45	12.43	9.65	12.94	7.63	15.05		
hsa-miR-1250-5p	hsa-miR-1250-5p	hsa-miR-1250-5p	MIMAT0005902	Endogenous1	29.5	23.01	20.27	20.91	24	36.23	18.61	9.24	27.45	18.9	7.72	19.02	16.48	28.32	19.45	17.55	15.68	18.69	11.99	10.95		
hsa-miR-1252-5p	hsa-miR-1252-5p	hsa-miR-1252-5p	MIMAT0005944	Endogenous1	32.18	24.54	15.92	13.07	14.61	36.23	30.46	12.8	31.84	31.18	17.65	17.75	8.72	29.89	22.83	19.74	10.86	24.44	15.26	16.42		
hsa-miR-1253	hsa-miR-1253	hsa-miR-1253	MIMAT0005904	Endogenous1	1.34	1	1.45	1.31	1.04	1.39	1.69	1	1.1	1	1.1	1.27	1	1.57	1	1	1.21	1.44	1.09	1.37		
hsa-miR-1254	hsa-miR-1254	hsa-miR-1254	MIMAT0005905	Endogenous1	16.09	19.94	26.06	40.51	25.04	13.93	22	12.09	35.13	22.68	16.54	35.5	8.72	29.89	14.38	14.62	19.3	27.31	18.53	19.16		
hsa-miR-1255a	hsa-miR-1255a	hsa-miR-1255a	MIMAT0005906	Endogenous1	107.28	33.74	43.43	35.29	27.13	33.44	47.38	28.44	62.58	51.97	25.37	45.64	19.39	62.93	39.75	29.24	31.37	21.56	43.59	61.58		
hsa-miR-1255b-5p	hsa-miR-1255b-5p	hsa-miR-1255b-5p	MIMAT0005945	Endogenous1	21.46	18.4	18.82	14.38	29.21	27.87	22	10.67	25.25	17.01	19.85	12.68	10.66	23.6	10.15	13.16	13.27	21.56	13.08	27.37		
hsa-miR-1257	hsa-miR-1257	hsa-miR-1257	MIMAT0005908	Endogenous1	41.57	43.71	40.53	32.67	43.82	43.19	33.84	19.91	34.04	37.8	36.4	25.36	17.45	55.07	27.06	16.08	34.99	34.5	26.15	19.16		
hsa-miR-1258	hsa-miR-1258	hsa-miR-1258	MIMAT0005909	Endogenous1	46.93	21.47	59.35	50.97	67.82	62.7	54.15	22.04	41.72	35.91	31.99	63.39	24.23	45.63	27.06	26.32	41.02	34.5	28.33	32.84		
hsa-miR-125a-3p	hsa-miR-125a-3p	hsa-miR-125a-3p	MIMAT0004602	Endogenous1	50.96	23.01	40.53	31.36	50.08	33.44	25.38	34.13	42.82	34.96	18.75	35.5	19.39	42.48	32.14	28.51	16.89	28.75	30.51	34.21		
hsa-miR-125a-5p	hsa-miR-125a-5p	hsa-miR-125a-5p	MIMAT0000443	Endogenous1	25.48	28.37	21.71	24.83	35.47	40.41	15.23	26.31	24.16	33.07	30.88	35.5	32.96	37.76	21.99	40.94	32.58	34.5	40.32	27.37		
