"miRNA","logFC","P.Value","adj.P.Val","AveExpr","t"
"hsa-miR-329-5p",-0.179534572003556,0.544557542238633,0.919885363810611,4.8599022115308,-0.614332606431681
"hsa-miR-330-3p",-0.308609722924663,0.350271696578371,0.919885363810611,4.24649066921475,-0.951914981809157
"hsa-miR-330-5p",-0.201345392358085,0.49840283580432,0.919885363810611,4.37408183625192,-0.68702650657707
"hsa-miR-331-3p",-0.0824218478434471,0.731315121137058,0.959506296398138,5.56044817453759,-0.347250789112117
"hsa-miR-331-5p",-0.0828428019132419,0.732254805145947,0.959506296398138,4.20141813380406,-0.345984707148531
"hsa-miR-335-5p",0.240811566195517,0.376522102462827,0.919885363810611,4.86624325008666,0.900389796022837
"hsa-miR-337-3p",-0.327018097807058,0.22244280818247,0.919885363810611,4.65602484665031,-1.25126783801892
"hsa-miR-337-5p",-0.613425180575298,0.0396030438404292,0.919885363810611,4.67572478645744,-2.17155520264669
"hsa-miR-338-5p",0.0118018568874474,0.971400904146355,0.991748303015441,4.27130115314174,0.0362127514946046
"hsa-miR-339-3p",-0.392387890722111,0.252814445013574,0.919885363810611,4.46701784046704,-1.1706130642622
"hsa-miR-339-5p",0.0400838224787634,0.914003114495057,0.991748303015441,4.62989735785079,0.109090843331608
"hsa-miR-33a-5p",-0.208310743818835,0.431345511966087,0.919885363810611,5.39467835669022,-0.799854030671994
"hsa-miR-33b-5p",-0.192111266703481,0.534323654453413,0.919885363810611,4.77242692351457,-0.630153409946852
"hsa-miR-340-5p",-0.0828157578449442,0.826037401261764,0.97800867389746,8.82782031664788,-0.222108632843387
"hsa-miR-342-3p",-0.46302810843456,0.106194238058734,0.919885363810611,7.9523122149894,-1.67616563141537
"hsa-miR-342-5p",0.238411033211933,0.562945547561737,0.919885363810611,3.69049827727617,0.586293586714311
"hsa-miR-345-3p",-0.200450649729536,0.559139752937161,0.919885363810611,4.46087445889476,-0.592057466440762
"hsa-miR-345-5p",0.0430702147370869,0.860706866183343,0.98698425914771,4.71600763614001,0.177296698435157
"hsa-miR-346",-0.227903589599627,0.537612013371138,0.919885363810611,4.82404442433268,-0.625052420976881
"hsa-miR-34a-5p",-0.286985034112854,0.356389085247071,0.919885363810611,5.10576518822633,-0.939683731552108
"hsa-miR-34b-3p",-0.32147292662737,0.352347149696521,0.919885363810611,4.39395361970691,-0.947749318397459
"hsa-miR-34c-3p",-0.191017692127917,0.592290736372859,0.919885363810611,4.62670473583406,-0.542495228218777
"hsa-miR-34c-5p",-0.160305539441255,0.65801234881027,0.948640213320057,4.05936614358558,-0.448009798261188
"hsa-miR-3605-3p",-0.200538041712951,0.573876314314154,0.919885363810611,3.73553901130197,-0.569848543848324
"hsa-miR-3605-5p",-0.0473227786288035,0.890099884560996,0.990655101645292,4.7014880679429,-0.139596133565038
"hsa-miR-361-3p",-0.264503996065684,0.352625680963563,0.919885363810611,6.65960083838183,-0.947191531366644
"hsa-miR-361-5p",-0.0324493012161522,0.922232125306172,0.991748303015441,7.12212111271838,-0.0986148419558597
"hsa-miR-3613-3p",0.0732420119243447,0.830290831965012,0.979824290870258,4.50970711208357,0.216587776520963
"hsa-miR-3613-5p",-0.368073567575156,0.160396107948267,0.919885363810611,4.19409939160311,-1.44681747918767
"hsa-miR-3614-3p",0.0247600965609527,0.931004431155849,0.991748303015441,4.79792247129443,0.0874595434134419
"hsa-miR-3614-5p",-0.109597245172625,0.73640867895116,0.960219159808866,4.54386531309534,-0.340394830248126
"hsa-miR-3615",0.110025473000474,0.740752282010736,0.961171253731004,4.50207045116145,0.334561384920035
"hsa-miR-362-3p",-0.00641729360898236,0.985247980458877,0.991748303015441,5.30493436591852,-0.0186761883260886
"hsa-miR-362-5p",0.202311049020735,0.416166107998227,0.919885363810611,6.52110142518283,0.826839513720013
"hsa-miR-363-3p",0.111251647143219,0.707327347077707,0.950361088564466,6.1429649257536,0.379773199061623
"hsa-miR-363-5p",-0.34447081532361,0.309316633392722,0.919885363810611,4.63784051349087,-1.03780119091162
"hsa-miR-365a-3p+hsa-miR-365b-3p",-0.240200038116694,0.356601052478075,0.919885363810611,5.72964023244926,-0.939262450050717
"hsa-miR-365b-5p",-0.447964356377384,0.137869346786536,0.919885363810611,4.07715181453748,-1.5329603788247
"hsa-miR-367-3p",-0.348014913105202,0.349911718668331,0.919885363810611,4.43366510201117,-0.952639185396167
"hsa-miR-369-3p",0.0619156694770604,0.842025597030065,0.982363196535076,4.69944126101143,0.201391233523862
"hsa-miR-369-5p",-0.402795354010001,0.224111093352658,0.919885363810611,4.26642986229564,-1.24662905264252
"hsa-miR-3690",-0.248170531363566,0.466262455434906,0.919885363810611,4.45365161875941,-0.739906696665865
"hsa-miR-370-3p",-0.267630064264558,0.430451769297048,0.919885363810611,4.725616904708,-0.80142645703749
"hsa-miR-370-5p",-0.564407004103334,0.0907913154694557,0.919885363810611,3.92154069538073,-1.75926969711531
"hsa-miR-371a-5p",-0.506587448013887,0.17319738775129,0.919885363810611,5.0591977927677,-1.40212641268544
"hsa-miR-371b-5p",0.0402191367605571,0.907104128121293,0.991748303015441,4.70072627486131,0.117883199594464
"hsa-miR-372-3p",0.0022932413766652,0.994720050403405,0.995968130767775,4.47555847190493,0.0066841109104509
"hsa-miR-373-3p",-0.151648979276029,0.624929454169848,0.945628158196145,4.38959857340251,-0.495002819845697
"hsa-miR-374a-3p",-0.42964713666067,0.20574096951898,0.919885363810611,4.62711130705654,-1.29923736295007
"hsa-miR-374a-5p",0.0159679706591316,0.962191433411817,0.991748303015441,10.0071945640387,0.0478821111194556
"hsa-miR-374b-5p",-0.104181290985237,0.773033443536718,0.968415522672372,6.44803691030361,-0.291560031588746
"hsa-miR-374c-5p",-0.686747897505857,0.0581398277594896,0.919885363810611,4.15743413167874,-1.98587445343973
"hsa-miR-375",-0.112556477710156,0.750188872295249,0.964816059500313,3.89453854857781,-0.321928281397775
"hsa-miR-376a-2-5p",-0.253812380143379,0.517255794696626,0.919885363810611,4.47991199410482,-0.656905678916558
"hsa-miR-376a-3p",-0.256427893001967,0.37381265499108,0.919885363810611,5.19624869630116,-0.905595791085871
"hsa-miR-376b-3p",-0.240302311809213,0.462090694731032,0.919885363810611,4.41387455542092,-0.74692428690675
"hsa-miR-376c-3p",-0.312711113169167,0.27261347400887,0.919885363810611,4.29925000622546,-1.12183573193434
"hsa-miR-376c-5p",-0.251088104843992,0.510273474875059,0.919885363810611,4.19616362688271,-0.667988781874705
"hsa-miR-377-3p",-0.0674914962454478,0.805113357304238,0.976129963629743,5.20777750211039,-0.249373706170108
"hsa-miR-378b",-0.174958034015622,0.545712184261244,0.919885363810611,4.53478583178645,-0.612557541318761
