"miRNA","logFC","P.Value","adj.P.Val","AveExpr","t"
"hsa-miR-3192-5p",-0.283482926912354,0.545376867887722,0.788586299665324,4.25611563175346,-0.613072829046307
"hsa-miR-3195",-0.981206140893385,0.0258615774683074,0.609467853313963,4.20406521397868,-2.36949540157264
"hsa-miR-3196",-0.22539107712926,0.538638745388235,0.787823734563643,3.70862938169093,-0.623463139323967
"hsa-miR-32-5p",0.0385380345141568,0.943103237189329,0.98378612193083,7.12794217509076,0.0720923481555317
"hsa-miR-3202",-0.314808636931772,0.524992410605609,0.780156319670905,4.76817069140757,-0.644720808030358
"hsa-miR-320a",-0.516767970182372,0.148597610229323,0.611921338001418,4.77111263605084,-1.49061655923525
"hsa-miR-320b",-0.550980129944637,0.108671804137583,0.611921338001418,4.04203961482337,-1.66376341621968
"hsa-miR-320c",0.109859432515281,0.712864564339426,0.869967227370446,3.97392373939826,0.372230218270784
"hsa-miR-320d",-0.412741401684815,0.192530177347774,0.630695505869534,4.06964761844653,-1.33935288108999
"hsa-miR-320e",-0.120530397845295,0.759752253323869,0.894526485045526,5.3070534713929,-0.309179495334576
"hsa-miR-323a-3p",-0.597879744118541,0.0818690432284361,0.610327372849163,4.39615882468966,-1.81307863435634
"hsa-miR-323a-5p",0.51432899605988,0.301270357974534,0.688344123318227,3.74595010299783,1.05559059934501
"hsa-miR-323b-3p",-0.592766192945697,0.17550667404345,0.630695505869534,4.1090474889758,-1.39434616349948
"hsa-miR-323b-5p",-0.133229159796176,0.760148463625399,0.894526485045526,4.74874387080367,-0.308652450105734
"hsa-miR-324-3p",-0.336939656064946,0.327021058253754,0.695016846512226,5.46087974249481,-0.999768244248843
"hsa-miR-324-5p",-0.147069943045626,0.616154449668715,0.812994432526668,5.18431167975561,-0.507654235739165
"hsa-miR-325",-0.280871878074397,0.377163923788936,0.715603915430122,5.23447803146973,-0.899160183501954
"hsa-miR-326",-0.933872001813953,0.0125095002282555,0.57305854796297,4.09950937976136,-2.69164900164992
"hsa-miR-328-3p",0.126213153722736,0.625559654014437,0.81568072533255,4.38402754418965,0.494097382639811
"hsa-miR-328-5p",-0.239041251994032,0.436761613157346,0.73528629706123,4.84904722537941,-0.790367621240938
"hsa-miR-329-3p",0.159921454710009,0.702849855992769,0.866731394792903,3.78607114161671,0.385888946994581
"hsa-miR-329-5p",-0.652315637001609,0.0523254575632995,0.609467853313963,4.8599022115308,-2.0376174077884
"hsa-miR-330-3p",-0.756174325616985,0.0432870773397982,0.609467853313963,4.24649066921475,-2.12921669156761
"hsa-miR-330-5p",-0.372983396725023,0.256311671330379,0.670158901343609,4.37408183625192,-1.16179813317997
