"","HC1","HC2","HC3","HC4","LTB1","LTB2","LTB3","LTB4","LTB5","LTB6","DS-TB1","DS-TB2","DS-TB3","DS-TB4","DS-TB5","DS-TB6","DR-TB1","DR-TB2","DR-TB3","DR-TB4"
"hsa-miR-548y",5.58285703484424,4.799087306074,5.65019012349677,5.5465858290081,5.76048710181103,5.6372044819023,5.6940444130862,4.98048235553826,5.48928602262588,5.37955165336549,5.30742852519225,5.89044669267991,4.81455042346181,6.06781078378962,5.34872815423108,4.32264926213102,5.26303440583379,5.36632221424582,4.97773784924282,4.95930648975966
"hsa-miR-548z+hsa-miR-548h-3p",5.62293035092018,5.15015345524625,5.03782146543497,4.69097573834328,4.70265754339091,5.16309613843601,5.25663329505992,4.33628338786443,5.6238083477264,5.09043004232162,4.65935375917005,4.97407036702403,4.95652136333312,5.49345520092618,4.76659516172927,4.60821785302146,4.71918344048179,4.29939120612683,4.1168637576909,4.82629424549963
"hsa-miR-549a",5.69932952567316,4.98504496225347,5.47346223623528,5.42021289061078,5.91814767387683,5.51064550409004,5.25663329505992,4.23112515787905,5.74685018309805,5.53480866123175,4.72082566608984,4.78816365703777,4.91073266190291,5.7679195858018,4.97498811199193,4.56437816856506,5.58646452588639,5.14974711950468,5.24982454861618,4.82629424549963
"hsa-miR-550a-5p",3.97727992349992,3.35049724708413,4.08065766334523,3.34340782229781,3.96439863220318,3.4262647547021,3.86195536414487,2.74200621086674,3.70929063572336,3.50969584193339,3.71479501111816,3.10601323762212,2.76977173924945,3.58616424593091,3.36457243229586,2.61353165291793,2.54349588342577,2.75488750216347,2.68929916053589,3.4032677223393
"hsa-miR-551a",4.48928602262588,4.03033607837096,5.09971599916091,5.18150015170461,5.34518344718767,5.41953889151378,5.19140472885276,2.74200621086674,4.7734689279052,4.17072627613155,5.13709360897494,4.12763327972587,4.34978987024187,5.15421053058834,4.67412163263239,2.43028527297778,4.25550073314839,4.07124781946144,4.0232553523003,3.57893871309339
"hsa-miR-551b-3p",5.80683958179819,4.48992821940518,5.27202318906105,5.32948243102564,5.674686619928,5.37190729759515,4.97544676564096,4.33628338786443,5.48928602262588,5.24222139509837,5.22496636500027,5.46303385531749,4.91073266190291,5.21684284283726,4.81044310384517,3.74738739965272,5.06953032516231,5.20711196120771,4.20476675065461,5.13791332208841
"hsa-miR-552-3p",5.62293035092018,4.15946772926677,5.37608196665007,5.37538702682888,5.61470984411521,5.67694435910691,5.12267271882414,4.43429461795993,5.17512534965772,4.92076967302065,4.99457972421575,5.58225490835766,4.41683974191283,4.79441586635011,4.46858331700683,4.32264926213102,5.06953032516231,5.50969584193339,4.44028782084042,4.95930648975966
"hsa-miR-553",4.86591881455221,4.22032995487956,5.91528186586766,4.89481776330794,4.75915583380027,5.10601323762212,6.06608919045777,4.05658352836637,4.98823022306046,4.96532254836725,4.83642913116165,5.7273759385949,4.71149490665009,4.79441586635011,4.41278152533848,3.6667565918848,5.39300425689832,5.02768487693716,5.24982454861618,4.67976157351685
"hsa-miR-554",5.10936055940423,4.58556349845569,4.67863534782274,4.61588707391606,4.70265754339091,5.21839371107679,4.29351763041742,3.71039319217052,4.83035674741922,4.56559717585422,4.72082566608984,4.85249829878989,4.34978987024187,5.15421053058834,4.22958792274065,3.74738739965272,4.25550073314839,4.74792441623844,3.81557542886257,4.67976157351685
"hsa-miR-555",5.45647762935182,5.21101219348551,4.97269265400426,4.76234881564413,5.10391721075207,5.10601323762212,5.05093696522523,5.04439411935845,5.65563804923464,5.24222139509837,4.65935375917005,4.91456452349394,4.48091134604775,5.44228003525258,5.0866139474095,4.77188557851537,4.90496571868403,4.74792441623844,3.81557542886257,4.33342373372519
"hsa-miR-556-3p",4.93073733756289,4.48992821940518,4.59454854955035,4.06004738366994,4.58195375084882,4.77978500530113,4.41345868800798,4.33628338786443,5.37920505996061,5.13010717865883,4.22110372536788,4.78816365703777,3.41818994794577,5.08915913191124,4.67412163263239,3.74738739965272,2.81352468929781,3.8011586560937,3.28095631383106,4.75488750216347
"hsa-miR-556-5p",4.30524096595448,4.33413917883824,4.50525580093216,4.76234881564413,5.01346225980656,4.85149920246126,4.72137265947682,3.35614381022528,4.93734439215023,4.38128337250378,4.45680614923047,4.64904056563445,4.27947129564447,4.94906796585291,4.22958792274065,4.03121873061072,4.58014548442338,3.94204525991605,4.1168637576909,4.60050764534579
"hsa-miR-561-3p",4.86591881455221,4.33413917883824,4.30888505741176,5.01613970265525,4.70265754339091,4.45285896471381,4.72137265947682,3.78659636189081,4.93734439215023,4.87528859822269,4.03913839390696,4.41210404467757,3.76553474636298,5.72574115650395,5.1906148602095,3.58135124716878,4.42693561964834,3.26603689399532,4.0232553523003,4.42827641439251
"hsa-miR-561-5p",5.10936055940423,4.48992821940518,4.67863534782274,4.4535175792155,4.81403764753998,4.62585493136806,4.97544676564096,3.62993940943954,4.52105073690096,5.00809242094872,4.45680614923047,4.57410150808939,3.65878273401283,5.21684284283726,4.62527048937469,3.74738739965272,3.83491342970104,3.8011586560937,3.57288966842058,4.60050764534579
"hsa-miR-562",4.09508049190141,4.03033607837096,4.19927972133662,4.27052894238072,3.64154602908752,3.22650852980868,4.02059109477325,4.28466218548316,4.45022149589718,4.50652577904312,4.3819754785573,3.30451104180995,2.28688114778816,4.87381319835909,4.29351763041742,3.82374936030827,3.70708299177171,4.29939120612683,2.91456452349394,4.60050764534579
"hsa-miR-563",5.36562255611334,4.09592441999854,4.19927972133662,4.82984955984469,5.22958792274065,5.27127625917593,4.41345868800798,3.85897561429202,4.88508622529017,4.50652577904312,4.22110372536788,5.18982455888002,3.95791459863299,5.21684284283726,4.09339115325301,4.03121873061072,4.16108148227718,3.8011586560937,3.43429461795993,3.4032677223393
