"Gene","Degree","Betweenness","Closeness","Eigenvector"
"NMI",19,0.00158772343490901,0.402535657686212,0.260484371096924
"APOL6",18,0.0126363634026914,0.405103668261563,0.2040381950207
"PHF11",17,3.28576171101598e-05,0.372434017595308,0.235017347718895
"CCR1",17,0.00316906373268498,0.401898734177215,0.0674907425741835
"CD38",17,0.0086276217973208,0.4064,0.0631089892484671
"C1QA",17,0.0173878135297808,0.400630914826498,0.062312179043072
"RIPK2",16,0.00340333792779397,0.407051282051282,0.126925655105672
"CCRL2",16,0.000657002311942242,0.398119122257053,0.0720065966214077
"IL2RB",16,0.00850832730895988,0.395638629283489,0.0608283480510222
"H2BC21",16,0.027941557291453,0.393188854489164,0.0497837534748456
"GATA3",16,0.0131115600900888,0.407704654895666,0.0413464130151452
"PARP10",15,0.00167571873904488,0.383107088989442,0.174061132319834
"ZAP70",15,0.0167007754874305,0.403815580286169,0.0459857406033125
"TIGIT",14,0.00136746139420492,0.3950233281493,0.0378859890082141
"PDCD1LG2",13,0.000569397111180338,0.397496087636933,0.0530794401652909
"C1QB",13,0.00787462504612114,0.379671150971599,0.0442581451203985
"TAP2",12,9.44263974797168e-05,0.397496087636933,0.144314345345135
"IL1RN",12,0.00583542688802759,0.39258114374034,0.090515396827741
"ERN1",12,0.0184984785504855,0.375739644970414,0.0373522407851188
"TRAFD1",11,0.00270851112291851,0.391975308641975,0.123908134002395
"ATF3",11,0.0260920527057009,0.401263823064771,0.0620658326801388
"LILRB1",11,0.000777021098166895,0.351313969571231,0.0293162052070284
"MICB",10,0.00413770993963627,0.33553500660502,0.0134663266559118
"GBP6",9,0,0.37910447761194,0.145581119040658
"TRIM38",9,0.000342324882604667,0.387786259541985,0.108592881149806
"WARS1",9,5.26071342098617e-05,0.388379204892966,0.0991034159985057
"LGALS3BP",9,0.00795737792011513,0.364942528735632,0.0947038879048028
"PSMA4",9,0.0155161062870598,0.374079528718704,0.042878472820071
"CASP7",9,0.00801533215758035,0.381381381381381,0.0400254865789449
"MAFB",9,0.00452900980297685,0.381381381381381,0.0397453752307235
"C1QC",9,0.000556035242431511,0.343243243243243,0.0294417704472703
"BCL2A1",9,0.00306557845572804,0.350344827586207,0.0270945706792255
"H2BC5",9,0.00480747367381883,0.352777777777778,0.024352727243487
"UNC93B1",8,6.14054702634333e-06,0.382530120481928,0.114338576510768
"TREX1",8,5.80284982543985e-06,0.356241234221599,0.110401042953735
"FBXO6",8,0.00860880476081391,0.38719512195122,0.0928659542496407
"KPNB1",8,0.00161380462140464,0.391371340523883,0.0809595334348259
"ANKRD22",8,0.00440012682493952,0.349862258953168,0.0287996752706612
"CEACAM1",8,0.000463341148431247,0.371345029239766,0.0274672548347894
"SLAMF7",8,0.000557738809990912,0.358251057827927,0.0249073264146654
"SLAMF8",8,0.000760608590566551,0.349862258953168,0.0189624103068615
"CMTR1",7,6.08267962524124e-05,0.355244755244755,0.0900698728782943
"RNF114",7,0.000199272672722553,0.351313969571231,0.0819395237976726
"ETV7",7,0.000172530358062382,0.358251057827927,0.0687243252274586
"CASP10",7,0.000355702229115518,0.357243319268636,0.0555212924083295
"CARD16",7,0.00384186136944031,0.355742296918768,0.0393056725211691
