"Gene","Degree","Betweenness","Closeness","Eigenvector"
"KLHL42",10,0.00175321730685039,0.279491833030853,0.0144697926476939
"KIAA0586",10,0.00102449118939241,0.274509803921569,0.0129361631428357
"LMAN2",10,0.00260476795550194,0.274859765425803,0.0113533381613912
"ECHDC2",10,0.00121573439134642,0.262862716410632,0.0082952457157338
"NADSYN1",10,0.00304931863524698,0.2718789407314,0.00759598849613981
"LAMTOR4",10,0.000319263022947298,0.257894736842105,0.00698864729512439
"HLCS",10,0.00840612722328103,0.2690963554668,0.00648693961790518
"DERL2",10,0.00360789100660524,0.262095793824459,0.00593666377746579
"KIF1C",10,0.00141038910220269,0.264604810996564,0.00482264578896162
"EDAR",9,0.000126190643708157,0.278913324708926,0.131315492174547
"CRY2",9,0.000345287905852048,0.310394471638353,0.088750374532952
"RBL1",9,0.00237305812831711,0.313008130081301,0.087355429198542
"DGKA",9,0.00134299976548857,0.291272629019184,0.075600331776371
"EPHA4",9,0.00186693669926969,0.296479647964796,0.0582243891647826
"PLEKHG4",9,0.00217712310449048,0.297954671088999,0.0535025299453981
"KAT6B",9,0.000830088944953728,0.288930581613508,0.0519090836559319
"NCAPD3",9,0.00137158904409404,0.290018832391714,0.0492549589086201
"POLD4",9,3.76415368002316e-05,0.2844327176781,0.0440438038241763
"CAMP",9,0.00144723813790399,0.297625621203755,0.0434827405856458
"HP",9,0.00225509806609227,0.284282700421941,0.0418273017838722
"HOMER3",9,0.000390215415818558,0.288389513108614,0.0384384116285614
"TBC1D4",9,0.00150919989568229,0.288235294117647,0.0375845803761285
"NPC1",9,0.00239514760860115,0.283908348696339,0.0372543698379279
"TXNL1",9,0.00169414468049434,0.279346981083182,0.0326196006449611
"REV1",9,0.000318050148553367,0.281315240083507,0.0310220228899097
"MYL12B",9,0.00104832806575688,0.284959027227068,0.0292853344374095
"CDC14A",9,0.00234770899453554,0.290409482758621,0.021904444560239
"PLXNA3",9,0.00125163881193632,0.256117842717985,0.0212893420488746
"MEX3C",9,0.00187873277012496,0.283609576427256,0.0186347615315671
"RAB13",9,0.00168240387823132,0.281315240083507,0.0182359672949156
"FAM32A",9,0.000822988601177852,0.269702276707531,0.0165241534600397
"RNF125",9,0.0021378879570636,0.279491833030853,0.0157453896291763
"ARF4",9,0.00138121910208722,0.285034373347435,0.015620238066448
"CARS2",9,0.00224750540619514,0.270446562970396,0.0134850993550515
"UBE3C",9,0.00559627729861918,0.270243168713963,0.0128933571855033
"CD248",9,0.00926950076344172,0.273534635879218,0.0126574879820357
"MDN1",9,0.00075673464650894,0.270582329317269,0.012200520315574
"ZNF318",9,0.00226947170842329,0.272222222222222,0.0113454136568981
"EIF5A2",9,0.000684380248521591,0.267294817753533,0.00994362874189507
"HK3",9,0.0036410596408208,0.255631965852502,0.00976938312116497
"ZFYVE27",9,0.00205370103736776,0.276056338028169,0.0093665898317243
"MTERF4",9,0.00419941077290593,0.260260743602125,0.00596164931139581
"TMED9",9,0.00353947996805151,0.26126999515269,0.00567158060937789
"NIPA1",9,0.00221575859335761,0.266304347826087,0.00485266211521728
"MALSU1",9,0.00128203920914855,0.24707769883108,0.00281387086923628
"PMEL",8,0,0.275,0.23521249723876
"LGALS9C",8,8.72568229495621e-05,0.276623043366692,0.167944419840209
"TXK",8,0.000867958133086936,0.295423403672239,0.155297923315963
"ESRRA",8,0.00416777072907121,0.311921296296296,0.106978083556896
"PPARD",8,0.00138046091787851,0.315851157339584,0.105182517048493
"TLE2",8,0.000328490687873186,0.293493057446229,0.101095379299686
"ABCC1",8,0.00670306745380937,0.311831067399479,0.0883463479182316
"PLAUR",8,0.00419597959113618,0.315666178623719,0.0617970313177266
"RASGRF2",8,0.000995000215155612,0.294938440492476,0.0600172970983623
"TGFBR3",8,0.0021493148741394,0.298780487804878,0.0598843741201289
"FBXO32",8,0.000467210477309597,0.292378627610523,0.0589576621178044
"USP28",8,0.00314064791888469,0.307912025135676,0.0585001229540148
"INPPL1",8,0.00245764994222087,0.280583029672046,0.0549621779805387
"ARPC1A",8,0.000426559466913636,0.286702127659574,0.0547254688833366
"TADA1",8,0.00298434897362174,0.309592188397473,0.0528884498986589
"ASNS",8,0.0047788929453855,0.310394471638353,0.0501998846806815
"LMO7",8,0.00295778389948124,0.281903765690377,0.0500926930141578
"POMP",8,4.85640998360006e-05,0.256117842717985,0.040525105975186
"HERC2",8,0.00163239002326799,0.286625897367721,0.0378050328285437
"APBB1",8,0.00205073449551473,0.297954671088999,0.036976989302713
"PIEZO1",8,0.00417015091379223,0.288543897216274,0.0344902124666457
"MED8",8,0.000852775941990023,0.281977504577557,0.0335774285299957
"HABP4",8,0.00235910755673124,0.295423403672239,0.0323257918278446
"PARVB",8,0.00288809428293846,0.284582893347413,0.0309130038305791
"TAF9B",8,0.000219581725775505,0.271331487540901,0.0284377769417222
"DECR1",8,0.000642507585410524,0.285034373347435,0.0282899956501703
"IPO9",8,0.00106861900918432,0.290722761596548,0.0273782592663924
"LRCH1",8,0.00400642916615419,0.286549707602339,0.027268613098657
"ITPKB",8,0.0029269023156885,0.272566371681416,0.0264998093061589
"GATC",8,0.00131759853008866,0.281021897810219,0.0244878830100733
"ZNF512B",8,0.000676898391424685,0.269904857285929,0.0227016447735736
"COL4A3",8,0.00150658863373626,0.277906676978603,0.0215629464366326
"RAB32",8,0.00172148256557222,0.279491833030853,0.0194794544986222
"LYRM7",8,0.00197699259340319,0.281756403554626,0.0174136170154677
"ATOX1",8,0.0027655611695732,0.287007454739084,0.017093770904441
"MRFAP1",8,0.00447438865551865,0.280583029672046,0.0168231120098164
"EEF1D",8,0.00128471418934576,0.284582893347413,0.0155676563370309
"DNAJA3",8,0.00114505830448719,0.280583029672046,0.0125579954857207
"RNGTT",8,0.00480303229860023,0.266963843486875,0.00992062673118475
"MAN1C1",8,0.00470657671272226,0.264474975466143,0.00975469223789865
"TNPO2",8,0.000879455079231671,0.267626613704071,0.00860399017279906
"BBS2",8,8.02472863457194e-05,0.26063829787234,0.00704544366830141
"ACSL6",8,0.00196247373959663,0.258575197889182,0.00622533802883984
"KLHL3",8,0.000830050390263333,0.261841146465873,0.00554595843650524
"TARBP1",8,0.000297501364149977,0.251575262543757,0.0050200286467538
"KPTN",8,0,0.25046468401487,0.00475233017403863
"TMEM199",8,5.3268259379498e-05,0.233586132177681,0.0019641903161851
