"Gene","Degree","Betweenness","Closeness","Eigenvector"
"ATXN2L",4,0.00208049636114786,0.356837606837607,0.0746982563587896
"ZMYM3",4,0.000552476606122753,0.342213114754098,0.0629239377782463
"DCAF1",4,0.0113676108881923,0.332669322709163,0.0524214233256407
"SAP130",4,0.000603383718578152,0.338056680161943,0.050810413323695
"ATN1",4,0.00301961944613612,0.329388560157791,0.0293089341650739
"SPTBN1",4,0.00193298211960776,0.310408921933086,0.0176400902701248
"NCOA5",3,4.97961228509267e-05,0.322393822393822,0.0806033728079417
"TGFBRAP1",3,0.00171180835894812,0.343621399176955,0.0632739050244641
"SIMC1",3,0,0.331349206349206,0.0594201657360272
"CYFIP2",3,0.00587214534001719,0.339430894308943,0.0520744748427669
"SYVN1",3,0.000144948970623649,0.337373737373737,0.0437597249213627
"SEC31A",3,0.0197030593019849,0.286449399656947,0.0380733870161305
"CASP2",3,0.014616202571153,0.339430894308943,0.0369695166913222
"PAIP2",3,0.00552408338473089,0.313320825515947,0.0195638203361263
"PJA1",3,0.000758466280965626,0.297682709447415,0.0160057841970701
"UBAP2",3,0.00159439200210352,0.295053003533569,0.00892987182520764
"ANKRD52",3,0.000975320784402312,0.258513931888545,0.00271538922869152
"EXOC2",3,0.0450636394908841,0.259720062208398,0.00225128947030723
"EAPP",2,0,0.317490494296578,0.0519744639624473
"CHAMP1",2,0,0.336693548387097,0.0481963885065973
"PRDX3",2,0,0.332007952286282,0.040862884932269
"FAM193A",2,0.000522723334072059,0.287435456110155,0.0395592486922709
"NFATC1",2,0.0114207086343309,0.3300395256917,0.0341950709932015
"RPAP1",2,0,0.297682709447415,0.0331680057493919
"ZBTB4",2,0,0.317490494296578,0.0331648420173916
"EIF4ENIF1",2,0.00139321120502228,0.307550644567219,0.032174533102734
"MAGED1",2,0.000584865082093818,0.308687615526802,0.0187451185564338
"MGAT5",2,0.0114207086343309,0.274220032840722,0.0175963207582897
"BCOR",2,8.27241007506662e-05,0.290940766550523,0.016069805207419
"ATP1A1",2,0.0114207086343309,0.275123558484349,0.0110293793118874
"MAP4",2,0.000435729847494553,0.287931034482759,0.00847076100582197
"ATP6V1G1",2,0,0.280201342281879,0.00818180657657156
"DEPDC5",2,0,0.280201342281879,0.00818180657657156
"ZNF142",2,0.000600539811066127,0.254185692541857,0.00292301292019634
"GORASP2",2,0.000637507439623022,0.232914923291492,0.0021282986278489
"GOLGA3",2,0.00350066760788237,0.256923076923077,0.00207272444733312
"ESYT1",2,0.022703818369453,0.207453416149068,0.000119686772700003
"OSBP",2,0.0114207086343309,0.17234262125903,6.3629355359072e-06
"PITRM1",1,0,0.304744525547445,0.0314082659294341
"HSBP1",1,0,0.324271844660194,0.0259215011129524
"CCND2",1,0,0.3014440433213,0.0181588795172563
"MADD",1,0,0.307550644567219,0.0146767996731144
"ZHX2",1,0,0.276948590381426,0.00646627726502691
"NBAS",1,0,0.250750750750751,0.00644261949613926
"FOXP1",1,0,0.263823064770932,0.00441514975504281
"MAPRE2",1,0,0.251885369532428,0.00353515261526025
"SLC41A1",1,0,0.258114374034003,0.0022925578740339
"ARHGAP35",1,0,0.25652841781874,0.00223861724765541
"SPN",1,0,0.253799392097264,0.00211777343858443
"PDCD6",1,0,0.222963951935915,0.00201841559219841
"NFATC3",1,0,0.248511904761905,0.00181281125421723
"LRBA",1,0,0.247041420118343,0.00152772998480708
"ST6GAL1",1,0,0.215483870967742,0.00093284813796076
"DOP1B",1,0,0.216041397153946,0.000584709502360607
"LAPTM4A",1,0,0.206427688504326,0.000119349449196502
"PI4KA",1,0,0.147136563876652,3.37323503489199e-07
"CLEC16A",1,0,1,1.63887850703622e-17
"SELENOF",1,0,1,1.48612510210909e-17
"SNX29",1,0,1,1.36746686982742e-17
"PPCS",1,0,1,1.26446271874624e-17
