"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"LARP4B",11.1776066972131,10.9132207740141,11.2290419896877,10.7611340474271,10.9648128398373,11.0292611423568,10.6755492915411,11.2412416099572,11.3992883948612,11.0560049732012,11.3022913204676,10.6451491915784,10.7875762928506,10.2451537603435,10.2929391836412,11.1532390166406,10.9487450852531,9.91413443061037,11.0333329934718,10.4551111129667,10.9066993320239,10.1256567111864,10.9829965693966,10.9912230830877,10.8174366553525,11.2164069752554,10.5540445392746,10.7350004867456,10.5971311242415,10.9168199780088,10.7699429341458,10.5092306569258,10.7754400876304,10.8452820669226,10.8573659988565,10.9963667618971,9.94710290803237,10.3342392607771,10.7097811874749,11.0512764984112
"LARP7",10.3389296059075,10.376849602094,10.5829595273615,10.370545746096,10.1246031197475,10.5333706836411,10.7067101726819,10.5298593123405,10.1306922276097,9.32016747577589,9.81058349552452,10.0798786259486,9.9935914460603,10.3678314415156,10.3621643186614,10.5524521936107,10.3814951642677,10.2455123155256,10.3384710707457,10.3037840902437,10.3903553013456,10.4380993812837,10.3130019201567,10.6709633830366,10.4208908695141,10.3996038019319,10.4309562614718,10.3735423907199,10.2298985452184,10.15526986028,10.4685662561864,10.0382838098939,10.4780101182466,10.5032995929241,10.3051556609112,10.1879534809175,10.6242693681608,10.3307116149985,10.1537555519914,10.4473343869316
"LARS",10.6465202852304,10.7904281149287,10.8302956471325,10.832016412572,10.7167183549164,11.1179606235517,10.6261352045147,10.917012932366,11.0333783726506,10.486470560938,10.6401241986354,10.6373222232246,10.2296683968735,10.8348719028281,10.7805703614738,10.7216966448269,10.8041675912752,9.66035782792756,10.6955992640449,11.1154683241587,10.4590538527464,10.1645927920048,10.3537185050718,10.9957977750524,10.8468085331604,10.6301884233381,10.5869652084159,10.6258452964983,10.5979893195207,10.9743370597811,10.9072235421338,10.6269824198394,10.8166391229721,10.8540068933305,10.8533200646742,10.5729820458047,11.3396435898413,10.551601150855,10.9382693198288,10.6884922769159
"LARS2",8.57608298497408,8.79201818013731,8.42626622861694,8.53430038230549,8.8409777287308,8.1239017350705,8.77223042826928,8.58264461208026,8.58964977606113,8.6337966868858,8.21552161030024,8.883947773208,8.45808251670406,9.10352637818881,8.13649558858746,8.87002758600834,8.297365034919,9.01702790490291,8.78428279338096,8.59709510079749,8.13515202718278,8.63849708352918,8.10533409437134,8.71015032227375,8.79662202194823,8.51725279121713,8.59859761605137,9.40024080735506,9.02698044136328,8.95947646825642,9.25724207971516,8.27988782884014,7.76913476050268,8.28266891797294,9.16121067225346,9.01249429919336,8.69798295908671,8.39028230732853,9.2086842734517,9.10055371583974
"LAS1L",9.90864506522036,9.93365647540119,9.78140470133287,9.71817611422034,9.78707465530316,9.87146663655752,9.85668684557974,9.676938626596,9.5633672184308,10.0260647865605,10.0262070347004,9.95530999454381,9.78614997376646,10.2735720293755,9.74778125438442,10.0955033484172,10.5184119887142,10.5805233324552,10.2052639998255,10.0021351513861,10.4142332832514,10.1971319761887,9.76298270167065,10.3319680293398,10.3193574564493,10.2066724447316,10.3553683242663,10.0153778671564,10.3109233847304,9.78317892338146,9.7024888813842,9.4316502472397,10.4276121571435,9.86985164348333,9.7446304918936,10.5291437425789,10.0210328971707,9.96754281764722,10.0535524855447,10.227394166752
"LASP1",10.9166588632715,10.8174690037986,10.5311119793003,10.6681475393107,10.8511657041723,10.6442649126085,10.662362043586,10.3898783366749,10.7851728498658,11.5382134799613,10.8386546707494,10.5090889784935,11.1345744858682,10.77962726422,11.1333137288204,10.9821550066982,11.0033091316623,10.4525131740244,11.0368561714783,11.2492745461082,11.2907124880562,11.2199258797165,11.0872962752077,10.6161840019058,11.0076191403904,10.8404189191507,10.7583125972907,11.6417156852904,11.1209087142255,10.9847168870312,11.3914586179811,11.1879622250729,10.7689950163758,10.8445525898183,11.2759594381422,11.0056987091005,11.218790619504,11.0768791547464,10.7989888598525,10.8911214093833
"LAT",12.4085985330823,12.6929816156077,12.5802607750881,12.8644520483218,12.69021514251,12.6380420027291,12.6614590215303,12.2478467569686,12.2394323564045,12.9395444787347,13.0060126474288,12.7241682550776,12.700390584499,12.8776213959082,13.1982628908091,13.0717677511684,12.9265355311793,12.5686014629937,12.8981654197514,12.834315121128,13.2683160296997,12.8715244244209,12.9280631071681,12.9757347792982,12.8855859950369,12.9614761941617,13.0173054620043,13.2736440458818,13.1340484441853,13.0182046354496,13.1123393477095,12.8881639520958,13.0057115300451,12.850689387106,13.0225288955167,12.9627834766345,12.9167991166806,12.9215383877148,13.3010365858829,12.8922587173025
"LAT2",7.52636519023399,8.6647034556041,8.721488809356,7.97724285746215,7.77965197039394,8.90291574867254,7.83839311627017,8.32833239812418,8.44630374305745,9.29638074128352,9.0952484238005,8.34837330614135,8.26529491119647,9.62341364469208,8.37596550630942,8.2573775824452,10.28552982626,8.91594361879521,8.10641329443026,9.31486845390477,8.18767938341462,8.63158672906527,9.4956504737833,9.08208911322361,8.82068095344837,8.49628199321259,8.2505895900554,8.29415830029055,7.85488958277212,8.7640882041984,8.48641306596001,9.08025540157181,8.21640787233462,8.4683252787473,7.97527519772443,8.90181986763039,7.84573209689836,7.51856265644869,7.50488346985687,9.5947878559461
"LATS1",9.91097385064933,10.1954019372536,10.3118605859347,9.90490011422668,10.327954675085,9.86798415900762,9.79194334137018,10.2543669233877,10.1935357150355,9.65466355341941,9.64050675361102,10.1996582328886,10.1183539096419,9.17900208527086,10.4921198134323,9.98493231453841,9.98990573688731,11.0200710670546,10.327767996757,10.1734743470571,9.8565157478293,10.2352144271661,9.82558323441295,10.3837551894847,9.93108372617203,10.2764005565176,10.2276283592714,10.1632433782659,10.415146163648,10.2274812193861,10.3137848894606,10.1944256118975,10.3985882236336,9.9309401572601,10.2931976773563,10.5104716921024,10.1871847933597,10.5923335599588,10.6155443756521,10.5080276576836
"LATS2",8.13241755190642,8.00839726354517,7.73975789479857,8.41510628804522,8.0626365484107,8.29916469077961,8.38880325954146,8.62434511834597,8.52330271588415,8.30519442928446,7.62310143766016,7.95529327836293,8.11982058297445,8.5224492213656,7.4122553049017,7.91719260417289,8.24198263447441,8.35822211648044,8.00652313549748,8.41164203992832,7.28745050066305,8.16230539627606,8.3255008727241,7.91603406957066,7.94981328327541,8.39682120656358,8.62522136461206,7.82700145264628,7.90088084135031,8.07767851290029,7.47096686280843,8.22038918631922,7.91361302136642,8.37940198358532,7.97527519772443,8.19861252972492,7.88994313119745,7.42273038251653,8.46930812515282,7.78496161726482
"LAX1",9.5668586025905,9.03695426558478,9.60665466815495,9.37706196481011,9.53039493444716,8.87031108580023,9.24065414177262,9.65853252054246,9.4331518621694,10.1699523581518,9.58115057971133,9.16437432849703,9.25826483809069,9.29391378070341,8.27512976954915,9.43853951387955,9.50503661857432,9.340326306428,9.2932979534133,9.43507658949112,9.26591577758306,9.46800215432191,9.43972820797567,9.08208911322361,8.78032001126611,9.9027586232344,9.21141253440693,9.83499314220636,9.31448783242187,9.51244062191666,9.13342207200854,9.06035179632292,8.94257440132792,9.41486842596316,9.35361663914998,9.11957262302125,8.67798593849099,8.84527139004959,8.93081931765186,8.2327561338254
"LBH",12.114410102246,11.9905208897294,12.1228951300796,11.7945586110512,11.9625377693388,11.7115518383569,12.0727694678291,11.9095716401366,11.5283996114295,13.1084841504632,12.7051659353613,11.8758216724621,12.59104834595,12.8261242310974,12.512889430564,12.2192013615587,12.1500411873011,11.6715877871294,12.4414684964451,12.7149839675488,12.5606624463132,12.6352892195731,12.21044411932,12.2249790920368,12.7138325595476,12.1893989542699,12.4799042426411,12.8151445505424,12.2903259611092,12.1339484662879,12.4656738628425,12.6957014550483,12.1612549732781,12.3148395057663,12.3396287636066,12.4042556062705,12.4183730291536,12.1406940227,12.4753808158473,12.2117611067669
