"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"VSTM4",27.74253370959,-0.00902521912031056,0.0343633172633976,0.0053627577158873,0.464178198363207,FALSE
"ZNF564",623.810155934417,-0.203063817766903,0.229865333786514,0.00539614019263689,0.464178198363207,FALSE
"WDR67",393.041251143176,-0.0170562426755732,0.0390552831802435,0.00566620909928834,0.471840684995284,FALSE
"ZBTB6",85.6860193258971,-0.0128778337723552,0.0362069970310241,0.0057410349707562,0.474751697442812,FALSE
"HSPA1A",97.1690511330036,0.00976442820576808,0.0346639941334033,0.00592745523783002,0.476919844405945,FALSE
"KLHL26",121.96481459874,-0.015421907451267,0.0378265908454606,0.00589162542096314,0.476919844405945,FALSE
"NCK2",428.274903145967,-0.194195353051581,0.315614166438646,0.00588792637172697,0.476919844405945,FALSE
"PTP4A3",203.040592282452,0.0116594267130874,0.0355459480540487,0.00584216232785251,0.476919844405945,FALSE
"AHSA2",458.096532680439,0.0214591317464916,0.0430840834311218,0.00638008822568401,0.492036328283822,FALSE
"AP1AR",196.54327869939,-0.0158307329871818,0.0380921693605996,0.00665248982647761,0.492036328283822,FALSE
"BDP1",1373.76469734181,0.0274481368545059,0.0507597353963923,0.0066262153775453,0.492036328283822,FALSE
"C12orf66",139.035909539181,-0.014667554021708,0.0372938377100607,0.00645844333180376,0.492036328283822,FALSE
"CCR6",310.662329549862,-0.0084426201003605,0.0341383078221949,0.00632711013790395,0.492036328283822,FALSE
"CTBP1",1343.61478446635,-0.134963148634211,0.116001631328682,0.00623359023886574,0.492036328283822,FALSE
"FAM107B",3922.44329548873,-0.147189924931478,0.137848437594307,0.00662993051402723,0.492036328283822,FALSE
"LOC728392",73.7204851385778,0.0158107135702846,0.0380922405028639,0.00622892220921568,0.492036328283822,FALSE
"MRPS25",274.792228829491,0.179657502386315,0.337221833908001,0.00627244149564538,0.492036328283822,FALSE
"PPP2CB",132.820831677691,0.0154875782076057,0.0378527972693398,0.00646369361949387,0.492036328283822,FALSE
"RELT",153.660098452407,0.0157613552247535,0.0380466374854135,0.00652708639533482,0.492036328283822,FALSE
"SPECC1L",511.310841276886,0.167213173765369,0.20904212544867,0.00638857545410749,0.492036328283822,FALSE
"ZNF773",114.06557105036,-0.0137079653929947,0.0366837705164779,0.00663578654550856,0.492036328283822,FALSE
"ZNF473",91.873212833139,0.00917237864959565,0.034411697465722,0.00683368875757417,0.502318306945637,FALSE
"CEBPD",213.651999867435,-0.00790817321416903,0.0339477550754331,0.00692507417871977,0.505912781105491,FALSE
"C7orf60",391.934775816985,-0.0279193321419303,0.0512423539673036,0.00770849936840077,0.510345768399245,FALSE
"CCDC88A",175.806576543615,0.0160918738786659,0.03824707737008,0.00748700685428945,0.510345768399245,FALSE
"CCNC",1182.25119742504,-0.128606645394072,0.246465685872721,0.00774095078955881,0.510345768399245,FALSE
