"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"TP0007_CD8_LTBI",0.963191301361967,0.965225350039016,0.961267853209008,0.961017665054197,0.958618643507694,0.960988263926505,0.950258644220081,0.939639207610083,0.946764871661181,0.968926346636852,1,0.954904090985596,0.97588751370879,0.946410210708102,0.950027622820179,0.957634515833139,0.963662533593671,0.912060277981375,0.96761666352916,0.963572831007731,0.964904886790153,0.948826325464221,0.959277000156065,0.964852098761435,0.96398635459324,0.966273089317604,0.955815843039601,0.961690066972082,0.964538755832448,0.967901784698734,0.964852758051061,0.954483356963964,0.955403092603618,0.962160039207228,0.966481262882755,0.96424769190301,0.943068370365101,0.948376972935145,0.953849726421717,0.955997158443318
"TU0146_CD8_HC",0.945496427369384,0.953210689663886,0.941844697685081,0.944642686151511,0.942340984205696,0.954785345117968,0.950070408239528,0.952597220524737,0.956141131502799,0.927325174308078,0.954904090985596,1,0.965263182756209,0.926934944087678,0.941668544820573,0.957111757095061,0.946528969386389,0.934716171265122,0.952066924913444,0.948237189530659,0.94853614753973,0.940196653523993,0.948046323215917,0.948779844672323,0.944226698454416,0.959198888007104,0.949052117848257,0.934462688072097,0.955210651312601,0.957325011384329,0.948210654578677,0.94360823575242,0.953754494591933,0.948942995462853,0.951407936229149,0.95244169185051,0.940557834995689,0.953229993983687,0.958842639039132,0.960272233728745
"XT0103_CD8_HC",0.960088280121823,0.96422239232148,0.95253508434134,0.957799102773328,0.950286310138972,0.957595513104582,0.95322178531372,0.941269783945493,0.947654906452434,0.9609708558785,0.97588751370879,0.965263182756209,1,0.93943946305768,0.948577036154395,0.961372463732221,0.958433158163105,0.917386801483778,0.961481655364456,0.963618426466328,0.960070992619446,0.945811578044068,0.957120638018549,0.95693927332642,0.958938399928363,0.962533746897328,0.95254479995202,0.957401464710727,0.962383821304616,0.96028721771921,0.962557746233534,0.954750028624004,0.948578285166324,0.956537388607964,0.964983721240869,0.966043161986867,0.947917621234774,0.9569343312415,0.958965700280799,0.962277823748145
"TP0013_CD8_LTBI",0.936472439292637,0.931312936921832,0.93217101546682,0.930841538333031,0.929494483733121,0.931432948144796,0.928505433987778,0.933877486589838,0.928514168832615,0.937217708763143,0.946410210708102,0.926934944087678,0.93943946305768,1,0.94737222877054,0.95125667974461,0.952778764424807,0.895710292319369,0.953297697960267,0.952926279930838,0.954370642044716,0.959871362824604,0.945520656316792,0.948131903508377,0.949502220426645,0.952446757194023,0.952561461838411,0.944829561591207,0.94371314089636,0.945346220731382,0.947445748096462,0.953417304192626,0.942037499230363,0.94748935332854,0.951563701474883,0.943799850953454,0.950662952799316,0.942708659533796,0.9453361738488,0.943283045682782
"TU0005_CD8_LTBI",0.938316039815539,0.938415869343682,0.930854118678108,0.942834102565278,0.933449386248688,0.936811956947138,0.943285563631883,0.9365854210566,0.93285072302002,0.93423782172477,0.950027622820179,0.941668544820573,0.948577036154395,0.94737222877054,1,0.959742349533909,0.95808010522407,0.920453768209683,0.960146250415171,0.955925777832914,0.958328399385455,0.9563394717453,0.95245604741447,0.946942799504718,0.954156090601246,0.958413128853246,0.955669323251668,0.954686675443505,0.955261782198221,0.954466909219775,0.952769865918446,0.95059848433284,0.945045670425831,0.945342005334721,0.948635502473645,0.950835912985374,0.951620079123408,0.958005740435611,0.958644732264217,0.955315371787779
"TU0010_CD8_LTBI",0.948881287779786,0.951845064022299,0.940862335653263,0.946042624069524,0.939991895902332,0.948167735360375,0.94429162903691,0.94759097119191,0.944304205865251,0.941919768486633,0.957634515833139,0.957111757095061,0.961372463732221,0.95125667974461,0.959742349533909,1,0.964936700299393,0.928432093918163,0.966440138928556,0.967733705876783,0.965655986960484,0.96238838077499,0.960510891652673,0.957114586364356,0.962938906737781,0.968581945280164,0.964795861011977,0.958531064534446,0.962754108882315,0.960336546914769,0.963281089531259,0.965027646746577,0.955363250572318,0.95838496238534,0.96239128384449,0.965958350214131,0.958691470021635,0.963766411771416,0.965012266640575,0.9653454169953
"TU0013_CD8_LTBI",0.945026742243505,0.947447455163457,0.940904530526188,0.947168432116157,0.93765331950225,0.94770902384952,0.941793624553635,0.940156658077183,0.939236870140649,0.948234745560759,0.963662533593671,0.946528969386389,0.958433158163105,0.952778764424807,0.95808010522407,0.964936700299393,1,0.91849270001155,0.96844519536601,0.963553749246707,0.96762231799835,0.958054894148229,0.957948707558078,0.961928495342061,0.963585215530447,0.966874810041351,0.962683610341471,0.958582877390689,0.961675170119741,0.963623813521867,0.963837287478608,0.960750875864528,0.95671958204136,0.959232014528516,0.95961071009449,0.961922012044445,0.953148205892998,0.955768872886738,0.959607687087863,0.963393731846665
"TU0021_CD8_LTBI",0.910048985002157,0.921457926143104,0.910675898292976,0.915502290672425,0.925792563630082,0.916540935424783,0.917498969800911,0.930673837804308,0.922055293550136,0.878135369346178,0.912060277981375,0.934716171265122,0.917386801483778,0.895710292319369,0.920453768209683,0.928432093918163,0.91849270001155,1,0.925810457352327,0.918197013814139,0.92572886199544,0.917965990123171,0.923620408307983,0.914363454033619,0.916712559391697,0.934463298973517,0.922508894463761,0.908202004959542,0.930686326546514,0.929963633889218,0.91442463782613,0.905106744596756,0.919031378347506,0.91207681512313,0.905534189104037,0.919153847238737,0.904086890443864,0.921019247567526,0.931010039793594,0.927290588242017
"TU0022_CD8_LTBI",0.952538718477906,0.952232203085499,0.947968144463797,0.950794935768324,0.945792600540151,0.954065355365523,0.945684901622596,0.949418966457695,0.948713356253686,0.947576920856109,0.96761666352916,0.952066924913444,0.961481655364456,0.953297697960267,0.960146250415171,0.966440138928556,0.96844519536601,0.925810457352327,1,0.966316739774096,0.969515889904505,0.961640229964147,0.96120719732736,0.966012983294225,0.967559664301547,0.974002674325076,0.965650805893287,0.960714553472266,0.967385024930052,0.96984688544829,0.966177845025251,0.961351841241794,0.963467118295366,0.963868984013865,0.96428136542296,0.963048069990194,0.954587734450434,0.956087244420301,0.962244057837022,0.961792081082482
"TU0024_CD8_LTBI",0.953757052624112,0.954292067125782,0.943938289643291,0.948397523697261,0.941427239435858,0.948775634704061,0.944154400898008,0.942558493955811,0.941319744843403,0.949648533957441,0.963572831007731,0.948237189530659,0.963618426466328,0.952926279930838,0.955925777832914,0.967733705876783,0.963553749246707,0.918197013814139,0.966316739774096,1,0.967256840813811,0.957638539926168,0.95991695041285,0.958996618357931,0.96425822996023,0.966358024337735,0.962669932016234,0.966767913857796,0.965044877672629,0.961677097681057,0.968304935857798,0.966375300534177,0.95473038939762,0.962294007228063,0.966148737121837,0.967673639402899,0.956845015142677,0.958373230035014,0.960430680033455,0.963383646193235
